n,Projective,Affine,Ruzsa,Prime Gap,Max Prime Gap
7,4,3,2,2,2
8,5,4,,1,2
9,6,5,,1,2
11,7,6,5,2,2
13,8,7,6,2,2
16,10,9,,3,3
17,10,9,8,1,3
19,11,10,9,2,3
23,13,12,9,4,4
25,13,13,,2,4
27,14,13,,2,4
29,16,12,8,2,4
31,15,13,9,2,4
32,14,14,,1,4
37,14,13,9,5,5
41,14,13,10,4,5
43,15,13,11,2,5
47,15,14,11,4,5
49,15,14,,2,5
53,15,14,12,4,5
59,17,15,11,6,6
61,16,15,10,2,6
64,14,13,,3,6
67,17,15,12,3,6
71,17,16,14,4,6
73,17,16,14,2,6
79,18,16,13,6,6
81,18,16,,2,6
83,18,16,15,2,6
89,18,18,15,6,6
97,20,18,13,8,8
101,20,18,12,4,8
103,19,18,15,2,8
107,20,17,15,4,8
109,20,18,12,2,8
113,19,19,15,4,8
121,19,18,,8,8
125,20,18,,4,8
127,20,20,15,2,8
128,22,20,,1,8
131,21,20,16,3,8
137,21,20,17,6,8
139,21,19,16,2,8
149,22,19,16,10,10
151,21,20,15,2,10
157,23,21,17,6,10
163,23,22,18,6,10
167,23,22,16,4,10
169,24,20,,2,10
173,24,21,14,4,10
179,23,23,16,6,10
181,24,23,17,2,10
191,24,23,19,10,10
193,25,22,18,2,10
197,24,22,19,4,10
199,24,22,16,2,10
211,26,23,15,12,12
223,25,24,19,12,12
227,25,24,19,4,12
229,25,23,19,2,12
233,27,25,17,4,12
239,27,22,17,6,12
241,26,24,17,2,12
243,24,24,,2,12
251,25,25,16,8,12
256,24,23,,5,12
257,28,24,18,1,12
263,28,24,21,6,12
269,26,25,19,6,12
271,27,25,18,2,12
277,27,26,15,6,12
281,27,24,20,4,12
283,27,26,18,2,12
289,26,27,,6,12
293,28,28,20,4,12
307,27,26,19,14,14
311,28,27,21,4,14
313,29,25,20,2,14
317,28,27,20,4,14
331,28,27,19,14,14
337,31,28,20,6,14
343,28,26,,6,14
347,30,28,22,4,14
349,30,30,18,2,14
353,30,28,21,4,14
359,29,29,21,6,14
361,28,27,,2,14
367,31,28,22,6,14
373,29,28,19,6,14
379,29,27,20,6,14
383,31,29,24,4,14
389,30,29,24,6,14
397,31,29,23,8,14
401,31,28,19,4,14
409,30,29,21,8,14
419,32,31,21,10,14
421,31,28,20,2,14
431,31,30,27,10,14
433,32,31,22,2,14
439,33,31,27,6,14
443,33,29,22,4,14
449,33,30,21,6,14
457,33,30,19,8,14
461,32,30,21,4,14
463,32,30,22,2,14
467,33,31,29,4,14
479,33,30,23,12,14
487,33,32,23,8,14
491,34,31,20,4,14
499,33,32,22,8,14
503,34,31,25,4,14
509,33,31,22,6,14
512,33,31,,3,14
521,33,30,20,9,14
523,33,33,23,2,14
529,32,30,,6,14
541,34,34,26,12,14
547,34,34,22,6,14
557,33,32,25,10,14
563,34,32,24,6,14
569,35,35,24,6,14
571,34,33,22,2,14
577,37,35,25,6,14
587,34,34,25,10,14
593,38,36,26,6,14
599,35,34,22,6,14
601,35,34,22,2,14
607,36,34,24,6,14
613,36,33,25,6,14
617,37,35,23,4,14
619,35,35,22,2,14
625,33,36,,6,14
631,35,35,22,6,14
641,36,33,26,10,14
643,36,33,23,2,14
647,37,35,22,4,14
653,36,36,24,6,14
659,38,36,24,6,14
661,35,33,24,2,14
673,37,37,23,12,14
677,36,34,22,4,14
683,39,35,24,6,14
691,36,36,23,8,14
701,37,36,25,10,14
709,38,35,23,8,14
719,37,39,29,10,14
727,38,36,29,8,14
729,36,34,,2,14
733,38,36,25,4,14
739,38,36,28,6,14
743,39,35,23,4,14
751,37,35,26,8,14
757,38,35,25,6,14
761,38,38,26,4,14
769,40,36,26,8,14
773,37,38,26,4,14
787,39,37,24,14,14
797,38,36,30,10,14
809,38,38,26,12,14
811,38,38,23,2,14
821,38,38,26,10,14
823,38,38,30,2,14
827,41,38,24,4,14
829,38,36,28,2,14
