n,Quality
7,1.7085
8,2.08392
9,2.2918
10,2.5838
11,2.51472
12,2.78046
13,2.46435
14,2.73057
15,2.5501
16,2.62091
17,2.89326
18,3.30306
19,3.31561
20,3.1774
21,2.75171
22,3.13204
23,3.7127
24,3.38447
25,3.0911
26,3.81893
27,3.48405
28,3.81323
29,4.04003
30,3.92319
31,3.6687
32,4
33,3.6913
34,3.37321
35,3.58344
36,4.29827
37,3.84883
38,4.14738
39,3.61639
40,4.19497
41,4.87522
42,4.62354
43,4.1799
44,4.05003
45,3.92689
46,4.73258
47,4.52648
48,4.56039
49,4.75071
50,4.23976
51,4.20256
52,4.35548
53,4.55415
54,5.28655
55,4.02942
56,3.79847
57,4.34072
58,4.60524
59,5.04632
60,5.05457
61,5.01786
62,5.29903
63,4.76771
64,4.61145
65,5.05836
66,4.70563
67,5.20194
68,5.10326
69,4.61833
70,5.06157
71,5.19726
72,5.11951
73,5.82113
74,5.058
75,4.41672
76,4.66277
77,4.86124
78,5.20577
79,5.46089
80,5.41448
81,5.38915
82,5.75041
83,5.41134
84,5.5207
85,4.93752
86,5.14828
87,5.09762
88,5.87205
89,6.67139
90,6.53144
91,4.15531
92,4.72457
93,5.10233
94,5.20811
95,5.74195
96,5.88341
97,5.58337
98,6.01087
99,6.58788
100,6.0266
101,6.67609
102,5.98958
103,6.00515
104,6.11742
105,5.58169
106,5.32726
107,5.80217
108,5.94609
109,6.12629
110,6.23584
111,5.6055
112,5.73618
113,6.12156
114,5.53803
115,4.49208
116,4.59084
117,5.1206
118,5.12396
119,5.37342
120,5.59283
121,5.76112
122,5.72017
123,5.69271
124,5.89835
125,6.44621
126,6.21686
127,6.75026
128,6.25847
129,6.21971
130,6.40793
131,6.30838
132,5.93256
133,5.75221
134,6.34421
135,6.07366
136,6.51641
137,6.49713
138,7.1413
139,6.41418
140,6.06718
141,4.61452
142,5.06571
143,5.37369
144,5.71406
145,5.98561
146,5.90004
147,6.4404
148,6.44789
149,6.64481
150,6.74847
151,6.63588
152,7.45935
153,5.75531
154,6.24006
155,6.55809
156,6.50753
157,6.39124
158,6.49422
159,5.92159
160,6.31526
161,6.76641
162,6.71961
163,6.98398
164,7.42414
165,6.45663
166,6.99371
167,6.97188
168,6.59368
169,6.47
170,6.64456
171,6.84763
172,6.83039
173,7.34071
174,7.24269
175,6.79477
176,6.60697
177,6.95001
178,7.489
179,8.117
180,7.30084
181,6.62397
182,6.24733
183,5.13488
184,5.68567
185,5.97486
186,6.10281
187,6.7474
188,6.91162
189,7.27218
190,7.93133
191,7.16856
192,7.89405
193,7.28516
194,8.01344
195,7.38337
196,7.63334
197,8.03439
198,6.83777
199,7.12504
200,6.723
201,4.71195
202,5.50318
203,5.55127
204,5.9798
205,6.67955
206,7.20614
207,6.7951
208,6.79115
209,7.22042
210,7.6167
211,8.28592
212,7.27824
213,4.67573
214,5.21542
215,5.8589
216,6.28352
217,7.22393
218,6.51241
219,6.46294
220,6.69271
221,7.2946
222,7.4563
223,8.10002
224,8.02315
225,7.82265
226,7.97707
227,8
228,8.34345
229,7.83716
230,7.41743
231,7.27025
232,7.19119
233,7.22135
234,7.24904
235,7.54011
236,7.12449
237,7.83194
238,7.81095
239,8.01948
240,8.43791
241,8.83626
242,8.28864
243,7.06781
244,6.82918
245,6.97479
246,7.09625
247,7.65088
248,7.41114
249,7.22118
250,7.68615
251,8
252,7.42486
253,7.55143
254,7.68922
255,8.04454
256,7.82466
257,7.45842
258,7.75012
259,7.08335
260,7.72238
261,7.70176
262,7.77176
263,8.06079
264,7.7111
265,7.88718
266,8.17254
267,8.08109
268,7.8289
269,7.60375
270,7.30626
271,6.93183
272,7.41731
273,7.5193
274,8.08272
275,7.75292
276,7.64762
277,8.56751
278,7.46719
279,7.84875
280,8.6681
281,8.57386
282,8.42551
283,7.50227
284,7.49141
285,6.62435
286,7.16851
287,7.84055
288,7.39886
289,7.42763
290,7.95568
291,8.04947
292,8.28535
293,9.03521
294,8.52671
295,5.77345
296,6.30706
297,7.10519
298,6.5965
299,6.58933
300,7.29025
301,7.69129
302,7.4461
303,7.7391
304,8.31605
305,8.03704
306,8.05034
307,8.29279
308,8.94148
309,8.01495
310,8.87046
311,8.45248
312,8.507
313,8.46593
314,8.50041
315,8.37156
316,8.33297
317,8.0178
318,7.96936
319,5.38559
320,5.97452
321,6.46065
322,6.5733
323,7.21526
324,7.50197
325,7.17458
326,7.78781
327,7.87307
328,7.64863
329,7.79757
330,7.35623
331,7.17289
332,7.5836
333,8.09232
334,8.47888
335,8.25698
336,9.07952
337,8.13073
338,8.39417
339,7.98641
340,7.33651
341,7.4584
342,7.76356
343,8.01045
344,8.4214
345,8.90626
346,9.44688
347,9.36262
348,8.25451
349,8.79124
350,8.41692
351,8.24499
352,8.4305
353,8.87502
354,8.51628
355,8.32147
356,8.94237
357,7.82955
358,8.39308
359,8.60166
360,9.46897
361,10.2978
362,9.93182
363,8.44253
364,7.86519
365,8.62941
366,8.42064
367,8.8478
368,9.13373
369,8.93195
370,8.86429
371,9.21968
372,7.90935
373,7.85482
374,8.37724
375,7.76847
376,7.90762
377,7.87807
378,7.96757
379,8.08357
380,8.34559
