m,Projective,Affine,Ruzsa
7,1.7085,1.7085,1.43224
8,2.08392,1.91724,1.44256
9,2.2918,2.14435,1.31885
10,2.5838,2.12599,1.16824
11,2.51472,2.39767,1.35635
12,2.78046,2.25321,1.41699
13,2.32292,2.46435,1.2953
14,2.73057,1.91695,1.71179
15,2.5501,2.15477,2.1159
16,2.62091,2.47225,2.07161
17,2.82255,2.89326,1.44365
18,3.30306,2.67029,1.72118
19,3.31561,2.96878,1.91199
20,3.1774,2.47858,2.08353
21,2.75171,2.69699,1.9737
22,3.07911,3.13204,2.20101
23,3.7127,3.30228,1
24,3.38447,3.14335,1.06531
25,3.0911,2.66169,1.67619
26,3.81893,2.84833,2.29346
27,3.48405,2.71008,2.54596
28,3.81323,3.04003,3.36263
29,4.04003,3.72155,2.48585
30,3.92319,3.16718,2.85226
31,3.6687,3.34137,0.817223
32,4,3.73341,1.34058
33,3.6913,2.61908,1.90338
34,3.37321,2.91946,2.42469
35,3.42469,3.58344,2.67354
36,3.87524,4.29827,2.11785
37,3.84883,3.56349,2.28689
38,4.14738,3.18621,2.40506
39,3.61639,3.36294,3.06951
40,4.11128,4.19497,3.69573
41,4.87522,3.94599,2.59427
42,4.62354,3.76389,2.55383
43,4.1027,4.1799,2.81294
44,4.05003,3.3306,3.3675
45,3.92689,3.78107,3.23877
46,4.73258,3.86925,2.67564
47,4.2215,4.52648,2.13353
48,4.56039,3.59279,2.62379
49,4.75071,3.71203,2.93483
50,4.23976,3.34167,2.6608
51,4.20256,3.77712,2.78175
52,4.35548,4.05211,3.02041
53,4.55415,4.22501,2.22599
54,5.28655,3,2.61907
55,4.02942,3.51214,2.44527
56,3.79847,3.68365,2.77407
57,4.34072,3.91516,2.58493
58,4.60524,4.41829,2.5834
59,5.04632,4.36485,2.86623
60,5.05457,4.14304,3.48452
61,4.57306,5.01786,2.00848
62,5.29903,3.81925,2.56096
63,4.76771,4.32292,2.90008
64,4.61145,4.1669,2.55897
65,5.05836,4.38647,2.41406
66,4.70563,4.34775,2.45474
67,5.20194,4.78264,2.57951
68,5.10326,4.10947,2.90776
69,4.61833,4.10778,2.90915
70,5.06157,4.42561,3.05973
71,5.19726,5.11373,3.45002
72,5.11951,4.46482,3.23228
73,5.82113,4.57486,2.47341
74,5.058,3.7291,2.50874
75,4.41672,4.40963,3.20167
76,4.66277,4.49476,3.21951
77,4.86124,4.59144,2.81105
78,5.20577,5.11653,3.28052
79,5.46089,4.76389,3.45531
80,5.41448,4.70724,3.58665
81,5.38915,4.7832,3.04488
82,5.75041,4.80544,3.07599
83,5.41134,4.92952,2.50155
84,5.5207,4.03751,2.69194
85,4.52019,4.93752,3.31769
86,4.85815,5.14828,2.85555
87,5.09762,4.81728,3.65733
88,5.87205,4.9458,4.18473
89,6.67139,4.72664,1.28455
90,6.53144,3.62292,1.92617
91,3.99425,4.15531,2.61448
92,4.72457,3.91481,2.73074
93,5.10233,4.349,2.78359
94,5.20811,4.51816,2.64356
95,5.74195,5.373,3.31031
96,5.72265,5.88341,2.84422
97,5.58337,5.30485,3.76374
98,6.01087,4.55483,2.98421
99,6.58788,5.10644,3.00521
100,6.0266,5.65489,3.37702
101,6.67609,5.20856,3.5218
102,5.98958,5.06188,3.63842
103,6.00515,4.87763,3.38574
104,6.11742,5.61301,4.02
105,5.53644,5.58169,4.19325
106,5.32726,5.18829,3.76987
107,5.80217,4.9314,3.52053
108,5.94609,5.14087,3.64484
109,6.12629,5.30815,2.99528
110,6.23584,4.80019,3.00935
111,5.6055,5.32597,3.26421
112,5.73618,5.27137,3.17905
113,6.12156,5.07873,-0.0928822
114,5.53803,3.93638,0.171181
115,4.49208,4.1713,0.75465
116,4.59084,4.31294,1.48363
117,5.1206,4.64787,2.06959
118,5.12396,4.52313,2.34534
119,5.37342,5.32942,2.32524
120,5.59283,5.01304,2.91883
121,5.76112,5.08624,3.16961
122,5.72017,5.47103,3.76718
123,5.51809,5.69271,4.07986
124,5.71644,5.89835,3.75442
